source_type,topic_0,topic_1,topic_2,topic_3
Academic,0.08487808704376221,0.5527155436575413,0.1959510464221239,0.16632667183876038
Consulting,0.22252841825996125,0.026770824300391332,0.4538242258131504,0.29683514152254376
Industry,0.42850043177604674,0.06749333739280701,0.23163476586341858,0.2722630500793457
Policy,0.9304275512695312,0.0,0.05553722381591797,0.013954625464975834
